XIMEA code samples list;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sample name;Author;Tomas_category;Description;Duplicate_group_ID;OS platform;Hardware platform;API type;Programming language;Libraries;Year of last update;Location;Path;Copyright;Note;Done?
MultiRecorder;XIMEA;Save images / video / sequences;multirecorder library  (looprecord functionality of xiCamtool) capable of recording images in RAM and SSD as well as remote control of cameras  ;;Cross-Platform;Cross-platform;xiAPI;C++;;2025;Cameras3X;Cameras3.x\Tools\MultiRecorder;Standard;;
MIL;XIMEA;Basic acquisition / image capture;Samples using Matrox Imaging Library.;;Windows;Cross-platform;MIL;C++;MIL;;Samples;Cameras3.x\\Samples\MIL;Standard;;
MultiRecorder_CameraSideProcessing;XIMEA;Save images / video / sequences;MultiRecorder sample/application with camera-side processing.;;;Cross-platform;;C++;;;Samples;Cameras3.x\\Samples\MultiRecorder_CameraSideProcessing;Standard;;
MultirecorderApps;XIMEA;Save images / video / sequences;Applications related to MultiRecorder.;;;Cross-platform;;C++;;;Samples;Cameras3.x\\Samples\MultirecorderApps;Standard;;
Capture-1-image-to-file;XIMEA;Save images / video / sequences;Captures one image and saves it to a file.;;Cross-Platform;Cross-platform;xiAPI;C++;;;Samples;Cameras3.x\\Samples\ProductionTools\Capture-1-image-to-file;Standard;;
Capture-10-concatenated-images-to-file;XIMEA;Save images / video / sequences;Captures 10 images, concatenates them and saves the result to a file.;5;Cross-Platform;Cross-platform;xiAPI;C++;;;Samples;Cameras3.x\\Samples\xiAPI\Capture-10-concatenated-images-to-file;Standard;;
Capture-10-images;XIMEA;Basic acquisition / image capture;Captures 10 images.;6;Cross-Platform;Cross-platform;xiAPI;C++;;;Samples;Cameras3.x\\Samples\xiAPI\Capture-10-images;Standard;;
Capture-10-images-mod;XIMEA;Basic acquisition / image capture;Modified variant of the sample that captures 10 images.;;Cross-Platform;Cross-platform;xiAPI;C++;;;Samples;Cameras3.x\\Samples\xiAPI\Capture-10-images-mod;Standard;;
Capture-10-images-to-file;XIMEA;Save images / video / sequences;Captures 10 images and saves them to file.;5;Cross-Platform;Cross-platform;xiAPI;C++;;;Samples;Cameras3.x\\Samples\xiAPI\Capture-10-images-to-file;Standard;;
Capture-10-images-to-file-mod;XIMEA;Save images / video / sequences;Modified variant of the sample that captures 10 images to file.;;Cross-Platform;Cross-platform;xiAPI;C++;;;Samples;Cameras3.x\\Samples\xiAPI\Capture-10-images-to-file-mod;Standard;;
Capture-10-images-to-ram;XIMEA;Buffering / queue / host memory;Captures 10 images into RAM.;7;Cross-Platform;Cross-platform;xiAPI;C++;;;Samples;Cameras3.x\\Samples\xiAPI\Capture-10-images-to-ram;Standard;;
Capture-50-images-gentl;XIMEA;Buffering / queue / host memory;Captures 50 images using a GenTL-based interface.;;Cross-Platform;Cross-platform;GenTL-hybrid;C++;;;Samples;Cameras3.x\\Samples\xiAPI\Capture-50-images-gentl;Standard;;
Jetson-demosaic-sample;XIMEA;Color / Bayer / color correction;Jetson sample for image depacking, demosaicing and display.;;Linux;Nvidia Jetson;xiAPI;C++;"OpenCV with CUDA and OpenGL; CUDA; Nvidia performance primitives";;Samples;Cameras3.x\\Samples\xiAPI\Jetson-demosaic-sample;Standard;;
xi_ErrorHandle;XIMEA;Feature / parameter control;Demonstrates xiAPI.NET error handling.;8;;Cross-platform;xiAPI.NET;C#;;;Samples;Cameras3.x\\Samples\xiAPI.NET\xi_ErrorHandle;Standard;;
Capture-images;XIMEA;Basic acquisition / image capture;Captures images using xiAPI.NET for .NET 5.;9;Windows;Cross-platform;xiAPI.NET;C#;;;Samples;Cameras3.x\\Samples\xiAPI.NET.5.cs\Capture-images;Standard;.NET 5;
Capture-images;XIMEA;Basic acquisition / image capture;Captures images using xiAPI.NET for .NET 6.;9;Windows;Cross-platform;xiAPI.NET;C#;;;Samples;Cameras3.x\\Samples\xiAPI.NET.6.cs\Capture-images;Standard;.NET 6;
Capture-images;XIMEA;Basic acquisition / image capture;Captures images using xiAPI.NET for .NET 7.;9;Windows;Cross-platform;xiAPI.NET;C#;;;Samples;Cameras3.x\\Samples\xiAPI.NET.7.cs\Capture-images;Standard;.NET 7;
Capture-images;XIMEA;Basic acquisition / image capture;Captures images using xiAPI.NET for .NET Core 2.2.;9;Windows;Cross-platform;xiAPI.NET;C#;;;Samples;Cameras3.x\\Samples\xiAPI.NET.Core.2.2.cs\Capture-images;Standard;.NET Core 2.2;
Capture-images;XIMEA;Basic acquisition / image capture;Captures images using xiAPI.NET for .NET Core 3.1.;9;Windows;Cross-platform;xiAPI.NET;C#;;;Samples;Cameras3.x\\Samples\xiAPI.NET.Core.3.1.cs\Capture-images;Standard;.NET Core 3.1;
Capture-images-offline-processing;XIMEA;Basic acquisition / image capture;Captures images and processes them offline.;10;Windows;Cross-platform;xiAPI.NET;C#;;;Samples;Cameras3.x\\Samples\xiAPI.NET.Framework.4.7.2.cs\Capture-images-offline-processing;Standard;.NET Framework 4.7.2;
Capture-images-to-file;XIMEA;Save images / video / sequences;Captures images and saves them to file.;5;Windows;Cross-platform;xiAPI.NET;C#;;;Samples;Cameras3.x\\Samples\xiAPI.NET.Framework.4.7.2.cs\Capture-images-to-file;Standard;.NET Framework 4.7.2;
Capture-images-to-file-dng;XIMEA;Save images / video / sequences;Captures images and saves them as DNG files.;;Windows;Cross-platform;xiAPI.NET;C#;;;Samples;Cameras3.x\\Samples\xiAPI.NET.Framework.4.7.2.cs\Capture-images-to-file-dng;Standard;.NET Framework 4.7.2;
Display-images-in-window;XIMEA;GUI / live viewer / display;Displays captured images in a window.;;Windows;Cross-platform;xiAPI.NET;C#;;;Samples;Cameras3.x\\Samples\xiAPI.NET.Framework.4.7.2.cs\Display-images-in-window;Standard;.NET Framework 4.7.2;
xi_ErrorHandle;XIMEA;Feature / parameter control;Demonstrates xiAPI.NET error handling.;8;Windows;Cross-platform;xiAPI.NET;C#;;;Samples;Cameras3.x\\Samples\xiAPI.NET.Framework.4.7.2.cs\xi_ErrorHandle;Standard;.NET Framework 4.7.2;
Capture-100-images-to-file;XIMEA;Save images / video / sequences;Captures 100 images and saves them to file.;5;Windows;Cross-platform;xiAPI.NET;VB.NET;;;Samples;Cameras3.x\\Samples\xiAPI.NET.Framework.4.7.2.vb\Capture-100-images-to-file;Standard;VB.NET / .NET Framework 4.7.2;
Capture-10-images;XIMEA;Basic acquisition / image capture;Captures 10 images using xiAPIplus.;6;Cross-Platform;Cross-platform;xiAPIplus;C++;;;Samples;Cameras3.x\\Samples\xiAPIplus\Capture-10-images;Standard;;
Capture-10-images-to-file;XIMEA;Save images / video / sequences;Captures 10 images using xiAPIplus and saves them to file.;5;Cross-Platform;Cross-platform;xiAPIplus;C++;;;Samples;Cameras3.x\\Samples\xiAPIplus\Capture-10-images-to-file;Standard;;
Capture-10-images-to-ram;XIMEA;Buffering / queue / host memory;Captures 10 images into RAM using xiAPIplus.;7;Cross-Platform;Cross-platform;xiAPIplus;C++;;;Samples;Cameras3.x\\Samples\xiAPIplus\Capture-10-images-to-ram;Standard;;
Test-DCR11-cameras-open;XIMEA;Camera enumeration / discover connected cameras;Tests opening DCR11 cameras.;;Cross-Platform;Cross-platform;xiAPIplus;C++;;;Samples;Cameras3.x\\Samples\xiAPIplus\Test-DCR11-cameras-open;Standard;;
Capture-50-images-and-display;XIMEA;OpenCV integration;Captures 50 images and displays them using OpenCV.;11;Cross-Platform;Cross-platform;xiAPIplus;C++;OpenCV;;Samples;Cameras3.x\\Samples\xiAPIplusOpenCV\Capture-50-images-and-display;Standard;;
Capture-50-images-to-video-file;XIMEA;OpenCV integration;Captures 50 images and writes them to a video file using OpenCV.;11;Cross-Platform;Cross-platform;xiAPIplus;C++;OpenCV;;Samples;Cameras3.x\\Samples\xiAPIplusOpenCV\Capture-50-images-to-video-file;Standard;;
Capture-50-images-and-display;XIMEA;OpenCV integration;Captures 50 images and displays them using OpenCV.;11;Cross-Platform;Cross-platform;xiAPIplus;C++;OpenCV;;Samples;Cameras3.x\\Samples\xiAPIplusOpenCV\Capture-50-images-and-display;Standard;;
Capture-50-images-to-video-file;XIMEA;OpenCV integration;Captures 50 images and writes them to a video file using OpenCV.;11;Cross-Platform;Cross-platform;xiAPIplus;C++;OpenCV;;Samples;Cameras3.x\\Samples\xiAPIplusOpenCV\Capture-50-images-to-video-file;Standard;;
Halcon_SWtrigger;XIMEA;Trigger / GPIO / I/O / strobe;HALCON sample for software-triggered image acquisition.;12;Cross-Platform;Cross-platform;HALCON;HDevelop;HALCON;2022;Files;\\files\Public\Support\samples\Halcon\Halcon_SWtrigger.hdev;Standard;;
MO_GPO;XIMEA;Trigger / GPIO / I/O / strobe;HALCON sample demonstrating GPO control.;;Cross-Platform;Cross-platform;HALCON;HDevelop;HALCON;2019;Files;\\files\Public\Support\samples\Halcon\MO_GPO.hdev;Standard;;
Examples - AcquisitionTest_2cams;XIMEA;Multi-camera acquisition;LabVIEW example for acquisition from two cameras.;13;Windows;Cross-platform;LabVIEW;LabVIEW;LabVIEW;2019;Files;\\files\Public\Support\samples\Labview\Examples - AcquisitionTest_2cams.vi;Standard;;
Examples - HWtrig_32bit_2017;XIMEA;Trigger / GPIO / I/O / strobe;LabVIEW example for hardware-triggered acquisition (32-bit / 2017 variant).;12;Windows;Cross-platform;LabVIEW;LabVIEW;LabVIEW;2021;Files;\\files\Public\Support\samples\Labview\Examples - HWtrig_32bit_2017.vi;Standard;;
Examples - ImgParams_exposure;XIMEA;Feature / parameter control;LabVIEW example for image exposure parameter control.;14;Windows;Cross-platform;LabVIEW;LabVIEW;LabVIEW;2018;Files;\\files\Public\Support\samples\Labview\Examples - ImgParams_exposure.vi;Standard;;
Examples_BPC;XIMEA;Flat-field / shading / calibration correction;LabVIEW example related to bad-pixel correction (BPC).;;Windows;Cross-platform;LabVIEW;LabVIEW;LabVIEW;2017;Files;\\files\Public\Support\samples\Labview\Examples_BPC.vi;Standard;;
Examples-AcquisitionTest_2cams;XIMEA;Multi-camera acquisition;LabVIEW example for acquisition from two cameras.;13;Windows;Cross-platform;LabVIEW;LabVIEW;LabVIEW;2019;Files;\\files\Public\Support\samples\Labview\Examples-AcquisitionTest_2cams.vi;Standard;;
Examples-AcquisitionTest_2cams_2014;XIMEA;Multi-camera acquisition;LabVIEW example for two-camera acquisition (2014 variant).;13;Windows;Cross-platform;LabVIEW;LabVIEW;LabVIEW;2020;Files;\\files\Public\Support\samples\Labview\Examples-AcquisitionTest_2cams_2014.vi;Standard;;
Examples-defectCorr;XIMEA;Flat-field / shading / calibration correction;LabVIEW example for defect correction.;;Windows;Cross-platform;LabVIEW;LabVIEW;LabVIEW;2019;Files;\\files\Public\Support\samples\Labview\Examples-defectCorr.vi;Standard;;
Examples-ImgParams_exposure;XIMEA;Feature / parameter control;LabVIEW example for image exposure parameter control.;14;Windows;Cross-platform;LabVIEW;LabVIEW;LabVIEW;2018;Files;\\files\Public\Support\samples\Labview\Examples-ImgParams_exposure.vi;Standard;;
Examples-LUT;XIMEA;Firmware / file access / LUT;LabVIEW example for LUT configuration.;;Windows;Cross-platform;LabVIEW;LabVIEW;LabVIEW;2019;Files;\\files\Public\Support\samples\Labview\Examples-LUT.vi;Standard;;
Examples-SensorReg;XIMEA;Feature / parameter control;LabVIEW example for sensor register access.;;Windows;Cross-platform;LabVIEW;LabVIEW;LabVIEW;2019;Files;\\files\Public\Support\samples\Labview\Examples-SensorReg.vi;Standard;;
Examples-SensorTaps;XIMEA;Feature / parameter control;LabVIEW example for sensor taps configuration.;15;Windows;Cross-platform;LabVIEW;LabVIEW;LabVIEW;2017;Files;\\files\Public\Support\samples\Labview\Examples-SensorTaps.vi;Standard;;
Examples-SWtrigger;XIMEA;Trigger / GPIO / I/O / strobe;LabVIEW example for software-triggered acquisition.;12;Windows;Cross-platform;LabVIEW;LabVIEW;LabVIEW;2020;Files;\\files\Public\Support\samples\Labview\Examples-SWtrigger.vi;Standard;;
U3Vexample_2cams;XIMEA;Multi-camera acquisition;LabVIEW example for two-camera USB3 Vision acquisition.;13;Windows;Cross-platform;LabVIEW;LabVIEW;LabVIEW;2019;Files;\\files\Public\Support\samples\Labview\U3Vexample_2cams.vi;Standard;;
xiLib_SensorTaps;XIMEA;Feature / parameter control;LabVIEW example using xiLib for sensor taps configuration.;15;Windows;Cross-platform;LabVIEW;LabVIEW;xiLib;2017;Files;\\files\Public\Support\samples\Labview\xiLib_SensorTaps.vi;Standard;;
XiPiGl;XIMEA;GUI / live viewer / display;OpenGL example using shaders for debayering and rendering;;Cross-Platform;Cross-platform;xiAPI;C++;OpenGL, GLFW, glew, FreetypeGL, Tracy;2024;GitHub repo;https://github.com/Ximea-GmbH/XiPiGl;Standard;;
nppDemosaic;XIMEA;GUI / live viewer / display;NVIDIA performance primitives for debayering + ImGUI for rendering + Optional MAVLINK integration for Drone demo;;Cross-Platform;Cross-platform(with any Nvidia GPU);xiAPI;C++;CUDA (NPP), OpenGL, glfw, GLEW, libTIFF, GoogleTest, Tracy, imgui;2024;Github repo;https://github.com/Ximea-GmbH/nppDemosaic;Standard;;
xi-gst-viewer;XIMEA;GUI / live viewer / display;Simple viewer based on xi-gst-plugin;16;Cross-Platform;Cross-platform;Gstreamer;Python;Gstreamer, xi-gst-plugin, PyGObject, pycairo;2025;Github repo;https://github.com/Ximea-GmbH/xi-gst-viewer;LGPL-2.1;;
xi-gst-rtsp;XIMEA;GUI / live viewer / display;RTSP server and client based on xi-gst-plugin;16;Server: Cross-Platform, Client: MacOS;Cross-platform;GStreamer;Python;Gstreamer, xi-gst-plugin, PyGObject, pycairo;2025;Github repo;https://github.com/Ximea-GmbH/xi-gst-rtsp;LGPL-2.1;;
Acq_buffer_size.lua;XIMEA;Buffering / queue / host memory;This code sets the camera acquisition buffer size to 200000 and starts the acquisition.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2021;Files;\\files\Public\Support\samples\Lua\Acq_buffer_size.lua;;;
BufferQueueSize.lua;XIMEA;Feature / parameter control;This code retrieves, sets, and prints the buffer queue size parameter for a camera device.;17;Cross-Platform;Cross-Platform;xiApi;LUA;;2022;Files;\\files\Public\Support\samples\Lua\BufferQueueSize.lua;;;
CPUbinning_average.lua;XIMEA;Feature / parameter control;Configures camera parameters for CPU-based binning with vertical averaging and acquires multiple images.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2017;Files;\\files\Public\Support\samples\Lua\CPUbinning_average.lua;;;
CamTool_LUA_error.lua;XIMEA;Basic acquisition / image capture;Sets camera parameters, starts image acquisition, retrieves images, and prints first pixel value and size for each image.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2017;Files;\\files\Public\Support\samples\Lua\CamTool_LUA_error.lua;;;
Cam_test.lua;XIMEA;Basic acquisition / image capture;This code captures and saves camera frames continuously as JPEG image files.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2018;Files;\\files\Public\Support\samples\Lua\Cam_test.lua;;;
Cam_test2.lua;XIMEA;Basic acquisition / image capture;This code sets camera exposure, starts acquisition, and continuously waits for new frames in a loop.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2020;Files;\\files\Public\Support\samples\Lua\Cam_test2.lua;;;
CloseAllViews.lua;XIMEA;GUI / live viewer / display;This Lua script repeatedly closes the currently active view until no views remain open.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2019;Files;\\files\Public\Support\samples\Lua\CloseAllViews.lua;;;
FrameNumber.lua;XIMEA;Basic acquisition / image capture;This code captures images from a camera and saves each frame as a uniquely numbered JPEG file.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2022;Files;\\files\Public\Support\samples\Lua\FrameNumber.lua;;;
Gain.lua;XIMEA;Feature / parameter control;This Lua code sets and prints the gain parameter of a camera using the XI_PRM_GAIN constant.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2019;Files;\\files\Public\Support\samples\Lua\Gain.lua;;;
GetActiveViewId.lua;XIMEA;Feature / parameter control;This sample prints the current active view ID using the app's GetActiveViewId function.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2017;Files;\\files\Public\Support\samples\Lua\GetActiveViewId.lua;;;
ImgAveraging.lua;XIMEA;Basic acquisition / image capture;Starts image acquisition from a camera and captures 150 frames for image processing.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2018;Files;\\files\Public\Support\samples\Lua\ImgAveraging.lua;;;
ImgOverlay.lua;XIMEA;Basic acquisition / image capture;This code captures camera images, processes them by scaling and subtracting, then overlays a fixed image continuously.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2017;Files;\\files\Public\Support\samples\Lua\ImgOverlay.lua;;;
ImgToFile_date.lua;XIMEA;Save images / video / sequences;Captures images from a camera and saves each frame to a file with a timestamped filename.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2022;Files;\\files\Public\Support\samples\Lua\ImgToFile_date.lua;;;
Linearity_graph.lua;XIMEA;Basic acquisition / image capture;This script captures images from a camera, measures their mean intensity, and plots gain values on a graph.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2021;Files;\\files\Public\Support\samples\Lua\Linearity_graph.lua;;;
MultipleROI.lua;XIMEA;Feature / parameter control;This code configures multiple regions of interest on a camera with specific exposure and gain settings.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2018;Files;\\files\Public\Support\samples\Lua\MultipleROI.lua;;;
OneCam_fit.lua;XIMEA;Basic acquisition / image capture;This code captures images at different exposures from a camera and saves them as FITS files in a loop.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2018;Files;\\files\Public\Support\samples\Lua\OneCam_fit.lua;;;
RecordTemperature_graph.lua;XIMEA;GUI / live viewer / display;This script captures temperature sensor data, plots it on a graph, and displays the graph in a new image view.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2021;Files;\\files\Public\Support\samples\Lua\RecordTemperature_graph.lua;;;
RecordTemperature_graphAndFile.lua;XIMEA;GUI / live viewer / display;This script records camera sensor temperature over time, graphs it, saves timestamps to a file, and displays the graph.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2021;Files;\\files\Public\Support\samples\Lua\RecordTemperature_graphAndFile.lua;;;
RecordTemperature_graphAndFile2.lua;XIMEA;Save images / video / sequences;This code records camera temperature data, graphs it, saves timestamps to a file, and displays the graph image.;18;Cross-Platform;Cross-Platform;xiApi;LUA;;2021;Files;\\files\Public\Support\samples\Lua\RecordTemperature_graphAndFile2.lua;;;
RecordTemperature_imgMean_graph.lua;XIMEA;Save images / video / sequences;This code records temperature and image mean data from a camera, graphs it, and saves results to a file.;18;Cross-Platform;Cross-Platform;xiApi;LUA;;2021;Files;\\files\Public\Support\samples\Lua\RecordTemperature_imgMean_graph.lua;;;
SWtrigg10img.lua;XIMEA;Basic acquisition / image capture;This code captures 10 images from a camera, timestamps them, and saves each as a JPG file.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2019;Files;\\files\Public\Support\samples\Lua\SWtrigg10img.lua;;;
SubtractImg.lua;XIMEA;Basic acquisition / image capture;This code loads an image file and sets it as a global image variable named background.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2018;Files;\\files\Public\Support\samples\Lua\SubtractImg.lua;;;
TS_reset.lua;XIMEA;Feature / parameter control;This code sets the timestamp reset source parameter to software for two camera objects.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2020;Files;\\files\Public\Support\samples\Lua\TS_reset.lua;;;
TestAcq.lua;XIMEA;Basic acquisition / image capture;This code stops the acquisition process of the first camera obtained from the cameras module.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2018;Files;\\files\Public\Support\samples\Lua\TestAcq.lua;;;
TimestampsToFile.lua;XIMEA;Save images / video / sequences;This code captures timestamps from camera frames and writes them into a text file.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2021;Files;\\files\Public\Support\samples\Lua\TimestampsToFile.lua;;;
TwoCams.lua;XIMEA;Basic acquisition / image capture;Captures and saves images from two cameras at varying exposure times in a continuous loop.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2017;Files;\\files\Public\Support\samples\Lua\TwoCams.lua;;;
TwoCams_fit.lua;XIMEA;Basic acquisition / image capture;Sets exposure times and captures synchronized images from two cameras, saving them as .fit files with timestamps.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2017;Files;\\files\Public\Support\samples\Lua\TwoCams_fit.lua;;;
TwoCams_jpg.lua;XIMEA;Basic acquisition / image capture;Captures images from two cameras at multiple exposures, then saves them with timestamps and exposure info.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2017;Files;\\files\Public\Support\samples\Lua\TwoCams_jpg.lua;;;
error_print.lua;XIMEA;Basic acquisition / image capture;This code sets camera exposure and continuously captures images in a loop while printing error codes.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2018;Files;\\files\Public\Support\samples\Lua\error_print.lua;;;
minExposure.lua;XIMEA;Basic acquisition / image capture;This code sets a camera's exposure to its minimum value and continuously acquires images.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2018;Files;\\files\Public\Support\samples\Lua\minExposure.lua;;;
output14bit.lua;XIMEA;Basic acquisition / image capture;This Lua code configures a camera for 14-bit raw image capture and prints the first pixel value from multiple frames.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2017;Files;\\files\Public\Support\samples\Lua\output14bit.lua;;;
self_triggering_trick.lua;XIMEA;Trigger / GPIO / I/O / strobe;This code configures a camera for hardware triggering and captures an image with controlled exposure time.;19;Cross-Platform;Cross-Platform;xiApi;LUA;;2024;Files;\\files\Public\Support\samples\Lua\self_triggering_trick.lua;;;
test.lua;XIMEA;GUI / live viewer / display;This Lua script duplicates and closes multiple application views while handling a user message box.;;Cross-Platform;Cross-Platform;xiApi;LUA;;2019;Files;\\files\Public\Support\samples\Lua\test.lua;;;
BufferQueueSize.lua;XIMEA;Feature / parameter control;This code retrieves, sets, and prints the buffer queue size parameter of a camera device.;17;Cross-Platform;Cross-Platform;xiApi;LUA;;2022;Files;\\files\Public\Support\samples\Lua_test\BufferQueueSize.lua;;;
